22505	15
58388	15
71917	28
16070	10
95627	15
24044	10
29215	21
89379	15
69958	15
11981	15
61581	15
54690	21
23691	15
19017	15
68039	21
60853	21
5653	10
50167	10
22181	10
8902	10
18671	21
94206	15
31102	10
19275	15
71169	10
97383	21
77686	21
93430	21
30513	15
297	15
7972	10
79892	10
21103	15
82659	15
57294	10
51840	15
30281	10
79727	10
62040	15
98525	21
26259	21
18082	10
68928	15
43502	10
69676	21
49601	21
47318	10
57477	15
8125	15
29169	21
74234	15
50460	10
4422	10
76526	10
89488	21
76283	15
66551	15
35370	15
31300	15
45703	10
31308	15
24251	10
99107	10
39992	15
22189	15
7261	15
80378	10
39229	10
72341	15
92595	10
3897	10
73433	10
41519	15
35673	15
83353	21
12591	15
78447	15
82306	21
37707	21
24017	21
39553	15
9946	10
19451	15
97282	21
83472	21
86690	10
24971	21
69335	21
15784	15
83346	15
15787	15
79399	21
73232	21
37177	21
46047	10
57652	21
46043	21
6102	10
65237	15
18633	21
27220	10
56376	21
1050	15
29589	21
49647	15
54101	21
41862	15
86186	15
34385	21
93964	10
58523	10
26894	10
80155	10
3111	10
31607	21
76495	10
66944	21
34651	21
53312	15
50481	21
31732	10
51471	15
52572	10
10683	15
37451	15
5071	15
11305	15
24798	15
5622	15
2155	21
2401	10
48322	10
55335	15
33720	15
4031	21
53658	21
10118	15
49981	10
49452	15
10888	10
70681	21
13394	15
53252	21
45331	21
4482	21
44203	21
18411	10
65269	10
32316	15
19201	21
64764	10
43860	10
86556	21
23977	10
64843	15
56763	15
30667	10
46498	15
99983	15
83006	21
3742	21
14333	10
73203	10
97289	21
14081	10
98589	15
91428	15
86080	15
82932	15
29843	21
8721	10
46156	15
95788	10
2596	21
35186	15
47773	15
66824	15
13876	21
15006	15
4947	10
2886	10
16805	21
7988	15
42721	15
36491	21
53613	15
10157	15
48652	10
49495	15
45710	10
58665	21
64330	15
69840	15
86017	15
95755	21
48865	21
28775	15
4656	15
28679	10
91553	10
74043	21
80885	15
44021	21
53612	21
99006	10
81462	21
11487	10
77062	10
77794	10
33297	21
76820	10
4000	21
29890	15
1963	10
65040	15
68442	21
18520	21
74815	15
32732	15
56318	21
19880	10
65311	15
98021	15
62626	10
54486	15
20261	21
38186	10
91079	21
48720	10
58720	10
16116	21
30124	15
35379	21
27357	21
30750	15
40222	21
77990	21
16277	21
39344	10
5509	15
41952	15
64972	21
4673	21
16683	15
34463	10
78791	21
24193	21
64273	15
49628	10
68121	10
53095	15
75386	21
59312	21
7447	10
87740	10
59256	15
52140	10
73714	10
36746	10
70516	21
23461	15
33719	10
2443	15
33713	21
20119	10
55913	15
28834	10
72403	21
95480	21
44587	21
48266	15
44211	15
61054	10
12919	15
15733	21
58487	10
58480	21
38934	10
43855	21
81510	10
24036	15
95652	21
90450	15
67016	15
78585	15
37483	10
5973	21
65859	10
84212	10
83079	21
85949	10
47563	15
40260	21
40265	15
65593	10
97295	10
41621	10
59512	10
18299	21
20238	15
31716	15
62104	10
28544	15
76328	21
82881	21
12862	15
91790	15
7707	10
79567	10
8264	10
42603	15
57485	15
90249	10
38129	15
90482	21
15490	21
69051	10
46581	15
20098	21
57300	21
61412	10
70227	10
88468	21
34572	21
9590	10
44296	15
75271	21
7205	21
35074	21
32252	15
62965	21
35774	21
61317	15
70824	15
27894	21
71511	15
70985	21
99155	15
54783	10
77072	15
37377	15
3226	15
68753	21
49807	21
13276	21
20974	10
72868	10
15876	10
54723	21
15165	15
27552	21
61186	21
71854	21
73257	21
22072	10
16562	21
27367	10
99658	21
45883	10
57739	15
2776	10
56990	15
10952	21
93015	10
97163	28
68803	10
1090	21
24828	10
83143	21
69000	10
3803	15
59463	10
15698	21
91761	10
74091	21
29685	15
11779	15
60193	10
43100	15
85256	10
76176	36
96679	21
67949	21
8138	21
25201	15
45695	10
85748	15
55483	10
34003	21
3819	21
86032	21
39725	15
54921	15
19165	10
61069	21
13988	21
24681	15
12512	36
35863	10
70770	10
29310	21
48220	21
4069	10
54389	21
21030	15
24949	15
52344	15
71727	21
24942	21
18739	10
19908	10
7640	21
1024	15
31810	10
29558	21
59992	21
7936	21
13954	15
84463	21
36084	15
4923	10
46283	15
4697	15
3534	15
52199	10
52424	21
29174	10
77947	10
30085	10
48631	21
2642	15
66835	10
27195	15
59337	15
15072	21
84004	15
12415	10
89874	15
92179	21
61675	21
